id;method;bucket-operation-count;closed-states-sum;expanded-states-sum;trace
11;sco;13;23;387;first >> 0,0,1,0,0 >> 0,0,1,0,8 >> 0,0,0,1,8 >> 0,0,6,1,8 >> 0,6,0,1,8 >> 0,6,6,1,8 >> 6,6,0,1,8 >> 6,6,6,1,8 >> 12,6,0,1,8 >> 12,6,6,1,8 >> 12,6,6,1,0 >> 12,6,0,1,6 >> 12,6,6,1,6 >> 12,6,4,1,8
12;sco;16;295;2933;first >> 0,0,1,0,0 >> 14,0,1,0,0 >> 14,1,0,0,0 >> 5,10,0,0,0 >> 5,0,0,0,0 >> 0,0,5,0,0 >> 14,0,5,0,0 >> 14,0,0,0,5 >> 14,10,0,0,5 >> 14,4,6,0,5 >> 14,4,0,0,5 >> 14,4,5,0,0 >> 14,0,5,0,4 >> 4,10,5,0,4 >> 4,0,5,0,4 >> 0,4,5,0,4 >> 14,4,5,0,4
13;sco;11;14;184;first >> 0,0,1,0,0 >> 0,0,1,2,0 >> 0,0,6,2,0 >> 14,0,6,2,0 >> 4,10,6,2,0 >> 4,2,6,2,8 >> 12,2,6,2,0 >> 12,0,6,2,2 >> 12,6,0,2,2 >> 12,6,6,2,2 >> 12,6,6,0,4 >> 12,6,6,2,4
14;sco;4;4;39;first >> 0,0,1,0,0 >> 0,0,1,2,0 >> 0,0,1,2,8 >> 0,2,1,0,8 >> 0,2,1,2,8
21;sco;24;1151;12954;first >> 0,0,0,0,0 >> 0,0,8,0,0 >> 8,0,0,0,0 >> 8,12,0,0,0 >> 15,5,0,0,0 >> 0,5,0,0,0 >> 0,0,5,0,0 >> 0,0,5,4,0 >> 4,0,5,0,0 >> 4,12,5,0,0 >> 15,1,5,0,0 >> 0,1,5,0,0 >> 0,0,5,0,1 >> 0,5,0,0,1 >> 0,5,8,0,1 >> 8,5,0,0,1 >> 8,0,5,0,1 >> 8,12,5,0,1 >> 15,5,5,0,1 >> 11,5,5,4,1 >> 11,5,5,0,1 >> 11,5,5,1,0 >> 5,5,5,1,6 >> 5,5,5,1,0 >> 5,5,5,0,1
22;sco;63;429;7643;first >> 0,0,0,0,0 >> 0,0,0,4,0 >> 0,12,0,4,0 >> 12,0,0,4,0 >> 12,12,0,4,0 >> 12,12,8,4,0 >> 12,12,2,4,6 >> 12,12,2,4,0 >> 12,12,0,4,2 >> 12,12,8,4,2 >> 12,12,4,4,6 >> 12,12,4,4,0 >> 12,12,0,4,4 >> 12,4,8,4,4 >> 12,4,0,4,4 >> 12,4,4,0,4 >> 12,4,4,4,4 >> 15,1,4,4,4 >> 0,1,4,4,4 >> 4,1,0,4,4 >> 4,1,8,4,4 >> 12,1,0,4,4 >> 12,1,4,0,4 >> 12,1,4,4,4 >> 12,0,4,4,5 >> 12,12,4,4,5 >> 12,12,3,4,6 >> 12,12,3,4,0 >> 12,12,3,0,4 >> 12,12,3,4,4 >> 12,0,3,4,4 >> 12,4,3,0,4 >> 12,4,3,4,4 >> 15,1,3,4,4 >> 0,1,3,4,4 >> 4,1,3,4,0 >> 4,0,3,4,1 >> 4,12,3,4,1 >> 0,12,3,4,5 >> 12,0,3,4,5 >> 12,4,3,0,5 >> 12,4,3,4,1 >> 12,0,3,4,1 >> 12,1,3,4,0 >> 12,1,3,4,6 >> 15,1,3,4,3 >> 0,1,3,4,3 >> 3,1,3,4,0 >> 3,1,3,0,4 >> 3,1,3,4,4 >> 3,0,3,4,5 >> 0,3,3,4,5 >> 4,3,3,0,5 >> 4,0,3,3,5 >> 4,12,3,3,5 >> 15,1,3,3,5 >> 0,1,3,3,5 >> 3,1,3,0,5 >> 3,0,3,1,5 >> 3,12,3,1,5 >> 0,12,3,1,5 >> 12,0,3,1,5 >> 12,1,3,0,5 >> 12,1,3,4,5
23;sco;52;515;9838;first >> 0,0,0,0,0 >> 0,0,0,4,0 >> 15,0,0,4,0 >> 3,12,0,4,0 >> 3,4,8,4,0 >> 11,4,0,4,0 >> 11,0,4,4,0 >> 11,12,4,4,0 >> 11,6,4,4,6 >> 11,6,4,4,0 >> 11,6,0,4,4 >> 11,0,6,4,4 >> 11,4,6,4,0 >> 11,4,6,4,6 >> 11,4,8,4,4 >> 11,4,0,4,4 >> 11,4,4,4,0 >> 5,4,4,4,6 >> 5,4,4,4,0 >> 0,4,4,4,5 >> 4,0,4,4,5 >> 4,12,4,4,5 >> 15,1,4,4,5 >> 11,1,8,4,5 >> 11,1,0,4,5 >> 3,1,8,4,5 >> 3,1,0,4,5 >> 0,1,3,4,5 >> 4,1,3,0,5 >> 4,1,3,4,5 >> 4,5,3,0,5 >> 4,5,3,4,5 >> 4,5,8,4,5 >> 4,12,1,4,5 >> 15,1,1,4,5 >> 0,1,1,4,5 >> 4,1,1,0,5 >> 4,1,0,1,5 >> 0,1,4,1,5 >> 15,1,4,1,5 >> 11,1,8,1,5 >> 11,1,5,4,5 >> 11,1,5,0,5 >> 11,1,1,4,5 >> 11,1,1,3,6 >> 11,1,1,3,0 >> 11,1,1,0,3 >> 11,1,0,1,3 >> 11,1,3,1,0 >> 11,1,3,0,1 >> 11,1,3,4,1 >> 11,1,3,0,5 >> 11,1,3,4,5
24;sco;11;128;1504;first >> 0,0,0,0,0 >> 0,12,0,0,0 >> 0,12,0,0,6 >> 0,12,0,4,6 >> 0,12,4,0,6 >> 15,12,4,0,6 >> 11,12,4,4,6 >> 11,12,4,0,6 >> 7,12,4,4,6 >> 7,12,4,0,6 >> 3,12,4,4,6 >> 3,12,4,0,6
25;sco;28;226;2925;first >> 0,0,0,0,0 >> 0,0,0,0,6 >> 0,0,0,4,6 >> 0,0,4,0,6 >> 0,0,4,4,6 >> 6,0,4,4,0 >> 6,0,4,4,6 >> 6,0,4,0,6 >> 2,0,4,4,6 >> 2,0,4,0,6 >> 2,0,4,4,2 >> 2,0,4,0,2 >> 2,0,4,2,0 >> 2,0,4,2,6 >> 2,6,4,2,0 >> 2,6,4,2,6 >> 4,6,4,0,6 >> 4,6,4,4,6 >> 10,0,4,4,6 >> 14,0,4,0,6 >> 14,0,4,4,6 >> 15,0,4,3,6 >> 0,0,4,3,6 >> 6,0,4,3,0 >> 6,0,4,0,3 >> 2,0,4,4,3 >> 2,0,4,0,3 >> 2,0,4,3,0 >> 2,0,4,3,6
31;sco;31;92;1709;first >> 0,0,0,0,0 >> 0,0,12,0,0 >> 14,0,12,0,0 >> 4,10,12,0,0 >> 4,7,12,3,0 >> 7,7,12,0,0 >> 0,7,12,0,7 >> 14,7,12,0,7 >> 11,7,12,3,7 >> 11,7,12,0,7 >> 8,7,12,3,7 >> 8,7,12,2,8 >> 14,7,12,2,2 >> 0,7,12,2,2 >> 2,7,12,2,0 >> 2,0,12,2,7 >> 2,10,12,2,7 >> 2,9,12,2,8 >> 2,9,12,2,0 >> 0,9,12,2,2 >> 14,9,12,2,2 >> 13,9,12,3,2 >> 13,9,12,0,2 >> 13,9,12,2,0 >> 13,9,12,2,8 >> 13,9,12,3,7 >> 13,9,12,0,7 >> 13,9,9,3,7 >> 13,10,9,2,7 >> 13,0,9,2,7 >> 13,9,0,2,7 >> 13,9,12,2,7
